Benchmark Time,Benchmark 814,Benchmark 1134,Benchmark 1232,Benchmark Repeat 1 Time,Benchmark Repeat 1 814,Benchmark Repeat 1 1134,Benchmark Repeat 1 1232,Benchmark Repeat 2 Time,Benchmark Repeat 2 814,Benchmark Repeat 2 1134,Benchmark Repeat 2 1232,Benchmark Repeat 3 Time,Benchmark Repeat 3 814,Benchmark Repeat 3 1134,Benchmark Repeat 3 1232,High Conc KN Time,High Conc KN 814,High Conc KN 1134,High Conc KN 1232,Low Conc KN Time,Low Conc KN 814,Low Conc KN 1134,Low Conc KN 1232,Mid Conc KN Time,Mid Conc KN  814,Mid Conc KN  1134,Mid Conc KN 1232,LiN Time,LiN 814,Li 1134,Li 1232,NaN Time,NaN 814,NaN 1134,NaN 1232,Toluene Time,Toluene 814,Toluene 1107,Toluene 896,DME Time,DME 814,DME 1250,DME 886,FPh Time,FPh 820,FPh 1103,FPh 1084,DME Stoichiometric Time,DME Stoichiometric 818,DME Stoichiometric 1109,DME Stoichiometric 895,TMEDA Time,TMEDA 817,TMEDA 1241,TMEDA 878,PMDETA Time,PMDETA 817,PMDETA 1124,PMDETA 895,CPME Time,CPME 814,CPME 1207,CPME 1073,18C6 Time,18C6 816,18C6 1232,18C6 887,5% KCL Time,5%KCl 814,20% KCL Time,20%KCl 814,5% LiCl Time,5% LiCl 814,20% LiCl Time,20% LiCl 814,5% LiNTf2 Time,5% LiNTf2 814,20% LiNTf2 Time,20% LiNTf2 814,FeN Time,Fe All,Fe Linear,CoN Time,CoN All,Co Linear,MnN Time,MnN All,Mn Linear
0.002673611,-5.5647,-3.28155,1.99362,0.002673611,-5.45199,-3.16764,1.86921,0.000578704,-5.54046,-3.27143,2.00465,0.001574074,-5.80066,-2.85487,1.15233,0.00056713,-5.71698,2.03763,1.40285,0.000578704,-6.28175,-0.35422,1.16535,0.002673611,-5.5647,-3.28155,1.99362,0.00056713,-4.50822,-1.71565,0.83987,0.000578704,-2.56708,-0.58179,0.0084511,0.000578704,-0.63282,-0.9961,-0.44077,0.000578704,0,0,0,0.000578704,12.027,-6.15,1.693,0.00056713,2.36493,3.89604,-0.31001,0.00056713,-0.47222,-1.76153,-1.1986,0.000578704,-0.25524,-0.54992,-0.0072304,0.00056713,5.6642,0,-0.79226,0.000578704,2.33225,-0.01713,0.0054753,0.000578704,-2.48197,0.00056713,-7.76209,0.00056713,0,0.00056713,-1.12431,0.00056713,-8.36093,0.000578704,-7.83574,0.000115741,-0.097608,,0.000115741,-0.11836,,0.000115741,-1.47181,
0.004976852,45.62216,17.85458,13.27731,0.004976852,45.36645,17.73838,13.18518,0.002569444,46.84764,18.43956,13.5803,0.003668981,42.90686,16.76883,12.04988,0.002673611,61.17089,27.23779,15.80328,0.002615741,20.50048,10.28297,6.85314,0.004976852,45.62216,17.85458,13.27731,0.009606481,30.14958,13.04631,7.69549,0.004236111,45.2132,24.2637,0.12058,0.002384259,25.53814,12.76109,7.54659,0.002280093,26.10798,4.99401,5.33874,0.002997685,31.761,6.333,12.958,0.002673611,22.63201,12.77973,6.4249,0.004247685,27.64668,4.56485,4.26026,0.003020833,23.16109,8.00353,0.044092,0.002719907,28.96804,13.42901,4.97884,0.003611111,21.06996,0.097797,0.050422,0.002881944,40.06765,0.00255787,35.46008,0.005405093,40.66237,0.00255787,35.99278,0.002650463,30.42925,0.002800926,28.73587,0.001759259,19.70851,,0.003981481,14.53811,,0.00119213,11.52216,
0.006365741,45.48459,17.7609,13.2439,0.006365741,45.0635,17.57766,13.08817,0.003958333,46.68474,18.36671,13.53663,0.00505787,42.55872,16.58405,11.95876,0.003935185,60.98797,27.11675,15.7576,0.00400463,20.62129,10.30086,6.83374,0.006365741,45.48459,17.7609,13.2439,0.01099537,30.1677,13.05554,7.69681,0.005625,45.16065,24.31895,0.12027,0.004930556,25.36134,12.58904,7.41336,0.004814815,26.01603,4.96664,5.17719,0.005775463,31.727,6.301,12.798,0.003935185,22.80003,12.84437,6.68745,0.005520833,27.67844,4.63457,4.35992,0.004293981,23.07995,8.05156,0.043232,0.005266204,31.75912,14.6011,5.95733,0.004884259,21.00681,0.097018,0.05011,0.004155093,40.04102,0.003831019,35.09277,0.006666667,40.52302,0.003831019,35.62987,0.005196759,30.139,0.0040625,28.67773,0.001990741,19.76262,,0.004212963,15.06097,,0.001423611,12.27049,
0.00775463,45.44931,17.73047,13.22165,0.00775463,44.81122,17.4764,13.00586,0.005347222,46.5703,18.31217,13.49196,0.006446759,42.36201,16.47205,11.87212,0.005335648,61.02795,27.07376,15.74795,0.005393519,20.49063,10.223,6.76829,0.00775463,45.44931,17.73047,13.22165,0.012384259,30.1834,13.05489,7.70134,0.007013889,45.10384,24.28829,0.11994,0.006203704,25.32091,12.54897,7.3608,0.006076389,25.94381,4.94755,5.15082,0.00994213,31.456,6.105,12.565,0.005208333,22.81821,12.86037,6.69053,0.006782407,27.63001,4.64431,4.37653,0.005555556,22.8902,8.04592,0.041572,0.006539352,31.77208,14.59713,5.9652,0.006157407,20.98906,0.096,0.049709,0.005428241,40.03513,0.005104167,35.05872,0.007939815,40.50856,0.005104167,35.5955,0.007731481,30.06346,0.006608796,28.62739,0.002222222,19.42088,,0.004444444,14.91972,,0.001655093,12.23607,
0.009143519,45.24187,17.62574,13.13724,0.009143519,44.56333,17.37499,12.92374,0.006736111,46.32607,18.20564,13.40398,0.007835648,42.07969,16.34896,11.76771,0.006724537,61.03676,27.04242,15.74014,0.006782407,20.37996,10.15749,6.71805,0.009143519,45.24187,17.62574,13.13724,0.013773148,30.18846,13.05147,7.69958,0.011180556,44.72176,23.83691,0.11804,0.008738426,25.24027,12.46879,7.24304,0.007349537,25.80292,4.91765,5.13538,0.012719907,31.204,5.927,12.38,0.006481481,22.7841,12.84085,6.63993,0.008055556,27.55312,4.64426,4.37238,0.008101852,22.24308,7.8923,0.036249,0.009085648,31.77732,14.59865,5.97294,0.007430556,20.77505,0.094166,0.048106,0.007962963,40.07025,0.006377315,34.96585,0.009212963,40.42959,0.006377315,35.50629,0.00900463,30.03213,0.007881944,28.56247,0.002465278,19.08311,101.4736285,0.004675926,14.59778,100.407124,0.001886574,11.59748,100.5796535
0.010532407,45.01596,17.51658,13.04498,0.010532407,44.23827,17.23671,12.81465,0.008125,46.10189,18.09488,13.31333,0.009224537,41.86421,16.24405,11.68397,0.008101852,61.03286,27.00989,15.72497,0.008171296,20.26852,10.09665,6.6744,0.010532407,45.01596,17.51658,13.04498,0.015162037,30.2055,13.04911,7.69719,0.013958333,44.31458,23.45194,0.11632,0.010011574,25.19202,12.42824,7.18438,0.009895833,26.24523,5.01504,5.11523,0.015497685,30.963,5.913,12.203,0.00775463,22.75668,12.83916,6.62338,0.009328704,27.47609,4.63248,4.36973,0.009363426,21.82778,7.73821,0.033181,0.010347222,31.70739,14.58575,5.94884,0.00869213,20.5023,0.091611,0.046292,0.009236111,40.02173,0.007638889,34.84616,0.011759259,40.27486,0.007638889,35.38999,0.011539352,29.95303,0.009143519,28.51318,0.002696759,18.05596,96.84238981,0.004918981,13.84721,95.28604091,0.002118056,10.46715,91.88077239
0.011921296,44.8122,17.42483,12.96295,0.011921296,44.02637,17.13132,12.72287,0.009513889,45.91492,17.99412,13.23161,0.010613426,41.63852,16.15111,11.60094,0.009490741,61.00723,26.96794,15.69861,0.009560185,20.15407,10.03298,6.62865,0.011921296,44.8122,17.42483,12.96295,0.016550926,30.21427,13.04569,7.69457,0.018125,43.87205,23.04579,0.11443,0.012546296,25.09215,12.35461,7.06916,0.011168981,26.21417,5.00545,5.10882,0.018275463,30.677,5.667,12.025,0.009016204,22.73282,12.83164,6.59264,0.011863426,27.37107,4.61918,4.35025,0.010636574,21.41238,7.58332,0.030192,0.012893519,31.47301,14.51919,5.88604,0.009965278,20.21081,0.088841,0.044419,0.010509259,39.95239,0.008912037,34.70437,0.013020833,40.23685,0.008912037,35.25114,0.014085648,29.85792,0.011689815,28.41098,0.002928241,16.85243,91.65636598,0.005150463,12.94499,89.13026124,0.002349537,9.46786,84.19035907
0.013310185,44.64896,17.3426,12.8972,0.013310185,43.80396,17.03164,12.64026,0.010902778,45.69605,17.89468,13.14891,0.012002315,41.49977,16.07899,11.54189,0.012268519,60.89694,26.87455,15.63618,0.010949074,20.04284,9.97864,6.58439,0.014699074,44.59749,17.31155,12.86416,0.017939815,30.20473,13.0504,7.6915,0.020902778,43.71314,22.90623,0.11373,0.013819444,25.02815,12.31373,7.00077,0.013703704,25.65126,4.88456,5.10116,0.021053241,30.375,5.511,11.831,0.010289352,22.6953,12.81754,6.55744,0.013136574,27.35856,4.61502,4.32741,0.011909722,20.9913,7.41516,0.027121,0.015439815,31.15404,14.424,5.77053,0.011238426,19.92425,0.085971,0.042585,0.013055556,39.84472,0.010185185,34.56664,0.014293981,40.18586,0.010185185,35.11532,0.015347222,29.82732,0.012951389,28.36908,0.003159722,15.57024,85.57980923,0.005381944,11.63935,80.22197705,0.002592593,8.51962,76.89282029
0.014699074,44.59749,17.31155,12.86416,0.014699074,43.60405,16.9347,12.55873,0.012291667,45.50468,17.80846,13.06878,0.013391204,41.43376,16.03598,11.50882,0.013668981,60.78962,26.80088,15.58294,0.013726852,19.79498,9.85601,6.49003,0.016087963,44.56754,17.29573,12.84399,0.019328704,30.20551,13.05183,7.68823,0.025069444,43.55021,22.74275,0.11288,0.016365741,24.9211,12.23034,6.87787,0.014976852,26.06496,4.96943,5.09613,0.02244213,30.22,5.437,11.737,0.0115625,22.65486,12.79932,6.51369,0.014409722,27.32392,4.60462,4.31477,0.01318287,20.5388,7.22162,0.02395,0.016712963,30.97718,14.37214,5.73161,0.012511574,19.58615,0.082852,0.040487,0.01431713,39.81461,0.011458333,34.40027,0.01556713,40.13444,0.011458333,34.95096,0.017893519,29.72737,0.015497685,28.24782,0.003402778,14.24713,79.10610247,0.005613426,10.60592,73.17096136,0.002824074,7.62656,70.01994002
0.016087963,44.56754,17.29573,12.84399,0.016087963,43.40505,16.83866,12.48186,0.013680556,45.28894,17.71609,12.98411,0.014780093,41.36938,15.99006,11.4727,0.01505787,60.65722,26.72405,15.52221,0.015115741,19.66666,9.79813,6.44158,0.017476852,44.52893,17.27246,12.81509,0.020717593,30.20085,13.05321,7.68155,0.027847222,43.45275,22.65511,0.11243,0.017638889,24.87322,12.18992,6.81896,0.017523148,26.16394,4.97982,5.09764,0.025219907,29.886,5.24,11.517,0.012824074,22.59507,12.7806,6.45832,0.01568287,27.25853,4.58717,4.29594,0.014456019,20.08067,7.01544,0.020837,0.019247685,30.52036,14.24205,5.60285,0.015046296,18.83065,0.07615,0.03592,0.015590278,39.75224,0.012731481,34.28293,0.016840278,40.11118,0.012731481,34.83013,0.020439815,29.63031,0.016770833,28.16871,0.003622685,12.92666,72.42579288,0.005844907,9.41186,65.02397917,0.003055556,6.83168,63.90264099
